buite-gaan,going out,to go out,,Compound
inter-gaan,coming in,to come in,,Compound
dit-dag,today,,today,Compound
buite,distance,to pull out,outside,Direction
binne,interior,to put inside,inside,Direction
inter,,to put between,between/inter,Direction
kant,side/direction,to turn,side,Direction
onder,bottom,,under/down,Direction
bo,top,,above/up,Direction
post,future,to follow,post/after,Direction
pre,past,to guide,before,Direction
al,finish/end,to finish,already/yet/all,Numbers
alles,everything,,all/every,Numbers
twee,two,,second,Numbers
een,one,,first/only,Numbers
drie,three,,third,Numbers
vier,four,,fourth,Numbers
nie,negotiation/none,to refuse,not,Numbers
dat,that/he/she/they,,that,Pronoun
dit,it/he/she/this,,this,Pronoun
jy,you,,your,Pronoun
my,I/me,,my,Pronoun
ander,alian,to change,another/different,
basis,base/ground/foundation/essence,to base,fundamental/basic/essential,
bedien,server,to serve,serving,
beeld,image,to draw,drawn,
begin,begining,to start/to begin,strarting/initial,
besig,business,to occupy,busy,
bou,building,to build,built,
bruik,tool,to use,tool,
brutaal,,,angry/brutal,
dag,day,,daily,
data,data/info,to write/to note,of info,
demo,demo,to show/to present,demonstrational,
dier,animal,,wild,
doen,implementation,to do/to make,done,
donker,darkness,,,
drink,drink,to drink,drink,
funksie,function,to function,functional,
gaan,trip/way,to go,,
gee,gift,to give,,
goed,good,to make some good,good,
grasie,grace,to thank,graceful,
groot,,to grow,big,
hard,difficulty,to make hard,hard/intensive,
hart,heart/love/darling,to love,lovely,
help,help,to help,helpful,
het,property/possession,to have,available,
hoop,hope,to believe/to hope,hopeful,
kan,ability,to able to,able/possibly,
leer,lesson,to learn,learning,
lig,light,to glow,light,
loop,walk,to walk,walking,
luk,luck/happiness,to try a luck,lucky/happy,
visie,vision,to see/to watch/to browse,visible,
maklik,ease,to simplify,easy,
man,male,,male,
meer,amount,to increase,more/many/a lot,
persoon,human/person,humanize,humane,
minder,absence,to reduce/to fold,less/few,
moet,duty,to be on duty,must/obligated,
mooi,beauty,to beautify,beautiful/pretty,
masjien,car/machine,to drive a car,machine,
naam,name/word,to call/to name,called/named,
nodig,need/requirement,to need/to require,required/need,
nuwe,news,update,new,
opsie,option,to choose/to decide,optional,
plan,plan,to plan,planned,
plant,plant,to plant,plant,
rede,reason,to reason,casual,
roete,route,to go for,nomad,
rond,rond/circle,surround/round up,around,
sag,soft,soften,soft,
sit,sit,to sit/to put,sitting,
somige,something,,some,
soos,alike,reminds of,alike,
speel,game/training,to play/to train,entertaining,
stof,substance/material,to materialise,material,
stoor,savings,to save,saved,
taal,language,to speak/to talk,talking,
teen,opponent,to battle/to dispute,against,
trek,luggage,to take,attractive/interesting,
tyd,time,,temporal,
vind,finding,to find,found,
vis,fish,to swim,fish/swimming,
vraag,question,to ask,curious,
vrees,fear,to scear,scary,
vrou,female,,female,
vry,freedom/liberty,to release,free/available,
wag,expectation,to wait,expected,
wat,what/which,what to do,which,
water,water,to wet/to water,wet,
weet,knowledge,to know,known,
werk,job/work,to work,work,
wil,will,to want,wanted,
woord,word,,word,
word,appeal,to become,became,
huis,house/home,to shelter,house,
eet,food,to eat,food,
tel,amount,to count,many/a lot,
enige,anyone/anything/any,,any/some,
kind,child,to born,childish/infantile,
voel,feeling,to feel,feeling,
familie,family,to familiarise,family/familiar,
ligging,location/place,to locate/to place,local,
taak,task,set a task,challenging,
regt,right/correction,to turn right/to correct,right/correct,
deel,part,to share,shared,
druk,push,to push,pushed,
digitaal,computer,digitalize,digital,
kry,get,to get/to understand,recieved,
ja,yes,to agree,agreed,
mark,market,to promote,market,
is,existence,to be,existing,
hoek,corner/angle,,corner,
wen,victory,to win,won,
lyn,line,to line up/to align,align,
web,web/grid,,web/grid,
hoek,angle/corner/edge,,corner,
dink,conception,to think,conceptual,
teken,symbol/sign/token,to sign,token,
order,order,to order,ordered,
vurk,fork,to fork,,
bak,pastry,to bake,baked,
heid,property/ness,,-ness,
tafel,table,,,
kamer,room/chamber,,room,
oggend,morning,,,
moeg,tiredness,,tired,
koppie,cup,,,
koffie,coffee,,,
