"my eet appel","I eat an apple"
"my eet oranje","I ate an orange"
"my wil oranje eet","I will eat an orange"
"e nou a my eet oranje","I am eating an orange"
"my het oranje eet","I have eaten an orange"
"e voor a my het oranje eet","I had eaten an orange"
"my wil oranje eet","I will have eaten an orange"
"i eet oranje!","Eat an orange!"
"i eet oranje","To eat an orange"
"my sou oranje eet","I would eat an orange"
"e voor a my eet oranje","I used to eat oranges"
"my moet oranje eet","I should eat an orange"
"i eet oranje e goed","Eating oranges is good"
"oranje is e eet van my","This is orange is eaten by me"
"my nie-eet oranje","I did not eat that orange"
"my eet e snel a appel e oranje","I eat quickly an orange apple (the apple has the colour orange)"
"jy eet my-appel","You eat my apple"
"my eet appel en oranje","I eat an apple and an orange"
"my wil i eet appel of oranje","I will eat an apple or an orange"
"my dink die jy moet appel eet","I think that you should eat apples"
"my eet appel want my kan","I eat apples because I can"
"my eet appel terwyl jy eet oranje","I eat an apple while you eat oranges"
"my nie-lief appel maar my eet sy","Although I eat apples, I don’t like them"
"jy eet oranje?","Do you eat oranges?"
"jy eet wat?","What do you eat?"
"wie i eet oranje?","Who eats oranges?"
"waar jy eet?","Where are you eating?"
"wanneer sy eet?","When is he eating?"
"hoekom je eet?","Why do you eat?"
"hoeveel my moet i eet?","How much should I eat?"
"hoe sy eet?","How does she eat?"
"my wil sy het","I would like to have it"
"jy kan wat voorstel vir aandete?","What would you suggest me for the dinner?  "
